Date,NAV,BENCH
2021-06-22,7849.1463,4246.44
2021-06-23,7873.5233,4241.84
2021-06-24,7941.1727,4266.49
2021-06-25,7966.1525,4280.7
2021-06-28,8031.9099,4290.61
2021-06-29,8123.7516,4291.8
2021-06-30,8114.0278,4297.5
2021-07-01,8065.1376,4319.94
2021-07-02,8117.7757,4352.34
2021-07-05,8137.8222,4352.34
2021-07-06,8154.3738,4343.54
2021-07-07,8225.1602,4358.13
2021-07-08,8034.339,4320.82
2021-07-09,8173.7937,4369.55
2021-07-12,8273.6024,4384.63
2021-07-13,8298.2313,4369.21
2021-07-14,8255.4785,4374.3
2021-07-15,8191.3134,4360.03
2021-07-16,8097.4829,4327.16
2021-07-19,7969.3262,4258.49
2021-07-20,8115.2922,4323.06
2021-07-21,8291.4159,4358.69
2021-07-22,8351.7469,4367.48
2021-07-23,8447.4921,4411.79
2021-07-26,8419.5213,4422.3
2021-07-27,8312.2261,4401.46
2021-07-28,8333.0298,4400.64
2021-07-29,8355.2299,4419.15
2021-07-30,8319.7243,4395.26
2021-08-02,8303.2561,4387.16
2021-08-03,8346.9374,4423.15
2021-08-04,8431.0487,4402.66
2021-08-05,8493.6229,4429.1
2021-08-06,8549.4472,4436.52
2021-08-09,8585.7458,4432.35
2021-08-10,8584.5865,4436.75
2021-08-11,8570.0791,4442.41
2021-08-12,8582.7429,4460.83
2021-08-13,8537.8461,4468.0
2021-08-16,8519.6239,4479.71
2021-08-17,8450.7427,4448.08
2021-08-18,8404.7375,4400.27
2021-08-19,8339.1916,4405.8
2021-08-20,8380.7278,4441.67
2021-08-23,8521.5714,4479.53
2021-08-24,8562.9309,4486.23
2021-08-25,8604.7347,4496.19
2021-08-26,8573.6336,4470.0
2021-08-27,8713.667,4509.37
2021-08-30,8778.972,4528.79
2021-08-31,8726.7626,4522.68
2021-09-01,8763.429,4524.09
2021-09-02,8786.6842,4536.95
2021-09-03,8753.8732,4535.43
2021-09-06,8820.5044,4535.43
2021-09-07,8808.4581,4520.03
2021-09-08,8731.8617,4514.07
2021-09-09,8769.6043,4493.28
2021-09-10,8853.0376,4458.58
2021-09-13,8791.091,4468.73
2021-09-14,8810.7004,4443.05
2021-09-15,8846.8796,4480.7
2021-09-16,8908.2621,4473.75
2021-09-17,8766.1085,4432.99
2021-09-20,8502.8014,4357.73
2021-09-21,8542.4804,4354.19
2021-09-22,8694.8369,4395.64
2021-09-23,8824.894,4448.98
2021-09-24,8739.8899,4455.48
2021-09-27,8616.6971,4443.11
2021-09-28,8333.513,4352.63
2021-09-29,8332.5801,4359.46
2021-09-30,8282.213,4307.54
2021-10-01,8232.4655,4357.04
2021-10-04,8055.1389,4300.46
2021-10-05,8205.1315,4345.72
2021-10-06,8160.3405,4363.55
2021-10-07,8276.9092,4399.76
2021-10-08,8180.9372,4391.34
2021-10-11,8165.8966,4361.19
2021-10-12,8154.1819,4350.65
2021-10-13,8224.6277,4363.8
2021-10-14,8468.2044,4438.26
2021-10-15,8568.161,4471.37
2021-10-18,8631.9348,4486.46
2021-10-19,8639.3126,4519.63
2021-10-20,8580.9762,4536.19
2021-10-21,8614.9944,4549.78
2021-10-22,8630.579,4544.9
2021-10-25,8653.3898,4566.48
2021-10-26,8729.0573,4574.79
2021-10-27,8725.7252,4551.68
2021-10-28,8883.3941,4596.42
2021-10-29,8941.748,4605.38
2021-11-01,8962.5987,4613.67
2021-11-02,9015.6849,4630.65
2021-11-03,8977.3865,4660.57
2021-11-04,9096.2867,4680.06
2021-11-05,9045.1171,4697.53
2021-11-08,9125.1244,4701.7
2021-11-09,9051.3663,4685.25
2021-11-10,8989.8784,4646.71
2021-11-11,9136.5286,4649.27
2021-11-12,9226.2352,4682.85
2021-11-15,9210.4916,4682.8
2021-11-16,9333.1443,4700.9
2021-11-17,9305.5847,4688.67
2021-11-18,9344.0199,4704.54
2021-11-19,9470.1628,4697.96
2021-11-22,9427.6634,4682.94
2021-11-23,9318.7385,4690.7
2021-11-24,9367.023,4701.46
2021-11-25,9411.8836,4701.46
2021-11-26,9054.7472,4594.62
2021-11-29,9236.839,4655.27
2021-11-30,9059.9478,4567.0
2021-12-01,9116.1895,4513.04
2021-12-02,9074.8045,4577.1
2021-12-03,8944.4385,4538.43
2021-12-06,8947.7626,4591.67
2021-12-07,9270.7706,4686.75
2021-12-08,9234.6468,4701.21
2021-12-09,9187.225,4667.45
2021-12-10,9151.376,4712.02
2021-12-13,9118.3673,4668.97
2021-12-14,8915.6637,4634.09
2021-12-15,9001.2011,4709.85
2021-12-16,9012.0396,4668.67
2021-12-17,8963.6606,4620.64
2021-12-20,8784.8574,4568.02
2021-12-21,8920.4751,4649.23
2021-12-22,9042.7217,4696.56
2021-12-23,9140.5042,4725.79
2021-12-24,9136.6596,4725.79
2021-12-27,9249.1385,4791.19
2021-12-28,9247.9132,4786.35
2021-12-29,9235.659,4793.06
2021-12-30,9237.4491,4778.73
2021-12-31,9212.9957,4766.18
2022-01-03,9185.4766,4796.56
2022-01-04,9230.3224,4793.54
2022-01-05,9086.9631,4700.58
2022-01-06,9014.5373,4696.05
2022-01-07,8891.5209,4677.03
2022-01-10,8800.9032,4670.29
2022-01-11,8913.9517,4713.07
2022-01-12,8945.3324,4726.35
2022-01-13,8939.6403,4659.03
2022-01-14,8852.9813,4662.85
2022-01-17,8955.0268,4662.85
2022-01-18,8786.2687,4577.11
2022-01-19,8689.247,4532.76
2022-01-20,8592.5149,4482.73
2022-01-21,8485.956,4397.94
2022-01-24,8528.4601,4410.13
2022-01-25,8425.9462,4356.45
2022-01-26,8370.0023,4349.93
2022-01-27,8426.0416,4326.51
2022-01-28,8531.5209,4431.85
2022-01-31,8519.2183,4515.55
2022-02-01,8477.6321,4546.54
2022-02-02,8453.5051,4589.38
2022-02-03,8224.7498,4477.44
2022-02-04,8235.8957,4500.53
2022-02-07,8198.7144,4483.87
2022-02-08,8237.138,4521.54
2022-02-09,8402.6888,4587.18
2022-02-10,8272.4745,4504.08
2022-02-11,8218.8915,4418.64
2022-02-14,8234.4873,4401.67
2022-02-15,8239.174,4471.07
2022-02-16,8306.4514,4475.01
2022-02-17,8179.4546,4380.26
2022-02-18,8231.8526,4348.87
2022-02-21,8178.2935,4348.87
2022-02-22,8126.2122,4304.76
2022-02-23,8083.679,4225.5
2022-02-24,8261.1673,4288.7
2022-02-25,8258.4771,4384.65
2022-02-28,8203.0867,4373.94
2022-03-01,8246.8062,4306.26
2022-03-02,8365.8286,4386.54
2022-03-03,8362.6115,4363.49
2022-03-04,8291.9896,4328.87
2022-03-07,8211.7107,4201.09
2022-03-08,8176.2337,4170.7
2022-03-09,8192.1349,4277.88
2022-03-10,8234.9895,4259.52
2022-03-11,8200.9096,4204.31
2022-03-14,8225.5442,4173.11
2022-03-15,8289.9394,4262.45
2022-03-16,8423.6481,4357.86
2022-03-17,8417.6534,4411.67
2022-03-18,8543.2836,4463.12
2022-03-21,8514.797,4461.18
2022-03-22,8607.5831,4511.61
2022-03-23,8523.0628,4456.24
2022-03-24,8571.3411,4520.16
2022-03-25,8578.6138,4543.06
2022-03-28,8623.5894,4575.52
2022-03-29,8533.6451,4631.6
2022-03-30,8408.8546,4602.45
2022-03-31,8350.2711,4530.41
2022-04-01,8389.3914,4545.86
2022-04-04,8461.288,4582.64
2022-04-05,8445.6209,4525.12
2022-04-06,8453.0076,4481.15
2022-04-07,8492.5484,4500.21
2022-04-08,8448.5007,4488.28
2022-04-11,8349.0243,4412.53
2022-04-12,8314.2492,4397.45
2022-04-13,8362.6128,4446.59
2022-04-14,8306.344,4392.59
2022-04-15,8306.344,4392.59
2022-04-18,8341.6854,4391.69
2022-04-19,8419.4609,4462.21
2022-04-20,8435.7203,4459.45
2022-04-21,8362.6857,4393.66
2022-04-22,8273.1718,4271.78
2022-04-25,8334.3301,4296.12
2022-04-26,8194.7593,4175.2
2022-04-27,8236.0421,4183.96
2022-04-28,8349.6905,4287.5
2022-04-29,8273.5186,4131.93
2022-05-02,8420.9726,4155.38
2022-05-03,8261.3272,4175.48
2022-05-04,8260.0828,4300.17
2022-05-05,8171.5323,4146.87
2022-05-06,8166.3823,4123.34
2022-05-09,8036.6638,3991.24
2022-05-10,8100.7729,4001.05
2022-05-11,7989.0856,3935.18
2022-05-12,8088.0733,3930.08
2022-05-13,8148.1144,4023.89
2022-05-16,8115.4429,4008.01
2022-05-17,8178.1381,4088.85
2022-05-18,8082.22,3923.68
2022-05-19,8026.5879,3900.79
2022-05-20,7999.8779,3901.36
2022-05-23,8029.385,3973.75
2022-05-24,7993.001,3941.48
2022-05-25,8032.6573,3978.73
2022-05-26,8092.3622,4057.84
2022-05-27,8254.3378,4158.24
2022-05-30,8264.7313,4158.24
2022-05-31,8236.7917,4132.15
2022-06-01,8231.1549,4101.23
2022-06-02,8234.1723,4176.82
2022-06-03,8187.0797,4108.54
2022-06-06,8246.8672,4121.43
2022-06-07,8293.4943,4160.68
2022-06-08,8169.1069,4115.77
2022-06-09,8075.0009,4017.82
2022-06-10,7963.9011,3900.86
2022-06-13,7870.2939,3749.63
2022-06-14,7861.4309,3735.48
2022-06-15,7880.1385,3789.99
2022-06-16,7656.9802,3666.77
2022-06-17,7687.1521,3674.84
2022-06-20,7661.8449,3674.84
2022-06-21,7714.8928,3764.79
2022-06-22,7610.1421,3759.89
2022-06-23,7537.5967,3795.73
2022-06-24,7687.6055,3911.74
2022-06-27,7661.0376,3900.11
2022-06-28,7619.0278,3821.55
